"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > WIMD 2011 > Welsh Index of Multiple Deprivation 2011 by rank and local super output area"
""
"","","WIMD (1)","Income (2)","Employment (3)","Health (4)","Education (5)","Access to Services (6)","Community Safety (7)","Physical Environment (8)","Housing (9)"
"Isle of Anglesey ","",".",".",".",".",".",".",".",".","."
"","W01000075: Hendre (Gwynedd) ",720,532,1022,920,629,1389,307,1295,112
"","W01000076: Hirael & Garth 1 ",1483,1261,1327,1236,1257,1747,644,1512,339
"","W01000077: Hirael & Garth 2 ",998,930,1327,1348,998,1616,154,292,138
"","W01000078: Llanaelhaearn ",693,690,1022,1039,846,254,956,1572,29
"","W01000079: Llanbedr ",1246,1180,1327,1607,1351,180,1431,1117,613
"","W01000080: Llanbedrog & Abersoch ",995,1298,1327,1074,1359,45,1309,1615,370
"","W01000081: Llanberis ",1063,1151,1327,1053,844,606,1217,663,197
"","W01000082: Llandderfel & Llanuwchllyn 1 ",1043,1429,1447,1295,1397,32,1662,1124,315
"","W01000083: Llandderfel & Llanuwchllyn 2 ",1329,1534,1761,1772,1488,40,1372,1275,770
"","W01000084: Llanengan ",1067,1424,1560,1643,1349,9,1677,1794,316
"","W01000085: Llangelynin ",877,904,941,1356,1154,270,1188,452,245
"","W01000086: Llanllyfni & Clynnog ",728,687,941,1110,1039,198,1039,1129,127
"","W01000087: Llanrug ",1578,1393,1327,1032,1309,1170,1239,1833,1040
"","W01000088: Llanwnda ",1218,1304,1111,1296,1318,256,1137,1600,596
"","W01000089: Llanystumdwy ",1291,1374,1447,1422,1276,165,1465,1491,504
"","W01000090: Marchog 1 ",136,122,456,147,67,858,163,1027,14
"","W01000091: Marchog 2 ",143,151,223,218,166,850,11,1534,140
"","W01000092: Menai (Bangor) ",1812,1849,1845,1459,1868,1858,597,1783,210
"","W01000093: Menai (Caernarfon) ",1487,1334,1111,1326,1741,1326,784,1033,436
"","W01000094: Morfa Nefyn ",1392,1222,1447,1595,1381,257,1373,1606,794
"","W01000095: Nefyn ",1201,1068,1221,1112,1308,422,1423,826,719
"","W01000096: Ogwen 1 ",748,827,1022,590,568,1191,968,608,78
"","W01000097: Ogwen 2 ",765,719,782,821,803,1574,199,1684,104
"","W01000098: Peblig (Caernarfon) ",119,102,223,244,78,1456,56,1088,34
"","W01000099: Penisarwaun ",1321,1303,1221,1344,1372,272,1395,1536,833
"","W01000100: Penrhyndeudraeth 1 ",1194,1425,1673,1124,1508,183,1709,518,141
"","W01000101: Penrhyndeudraeth 2 ",1347,1321,1327,1350,1200,1213,941,725,165
"","W01000102: Pentir 1 ",1703,1755,1761,948,1770,568,1375,1752,1115
"","W01000103: Pentir 2 ",1148,1124,1327,1655,1434,120,979,1029,606
"","W01000104: Penygroes (Gwynedd) ",965,801,941,844,976,1565,740,1224,234
"","W01000105: Porthmadog East ",810,905,941,1293,449,1799,547,149,183
"","W01000106: Porthmadog West ",1512,1596,1673,1468,1456,547,1234,455,421
"","W01000107: Porthmadog - Tremadog ",952,1136,1221,1639,879,220,995,498,180
"","W01000108: Pwllheli North ",856,876,941,990,936,1402,625,406,53
"","W01000109: Pwllheli South ",776,815,941,903,753,987,983,388,62
"","W01000110: Seiont 1 ",1249,1253,1111,1080,1080,789,1056,845,667
"","W01000111: Seiont 2 ",738,628,861,877,781,1615,254,775,139
"","W01000112: Talysarn ",506,454,522,868,807,301,777,1191,110
"","W01000113: Teigl ",868,839,941,889,1132,420,1030,1747,119
"","W01000114: Trawsfynydd ",1056,1139,1221,1441,1396,197,1028,1146,163
"","W01000115: Tregarth & Mynydd Llandygai ",1107,1205,1327,1308,1360,95,1337,1765,438
"","W01000116: Tywyn 1 ",1398,1193,1221,1363,1394,649,1579,1370,532
"","W01000117: Tywyn 2 ",746,594,1022,503,827,1486,1058,758,96
"","W01000118: Waunfawr ",970,1287,1327,1593,1436,8,1050,1319,592
"","W01000119: Y Felinheli ",1200,1443,1221,1051,1310,526,994,714,204
"Conwy ","",".",".",".",".",".",".",".",".","."
"Conwy ","W01000120: Abergele Pensarn ",195,314,97,494,270,660,612,209,203
"","W01000121: Betws-y-Coed ",1273,1385,1673,1601,920,199,1047,1016,506
"","W01000122: Betws yn Rhos ",1202,1286,1327,1434,1416,108,1484,1067,711
"","W01000123: Bryn ",1011,1212,861,758,1061,793,1192,827,334
"","W01000124: Caerhun ",1379,1519,1447,1531,1422,210,1684,901,562
"","W01000125: Capelulo ",1443,1268,1447,1577,1283,484,1194,1636,451
"","W01000126: Colwyn 1 ",1456,1200,1111,1139,1525,1121,752,1874,940
"","W01000127: Colwyn 2 ",409,324,295,1021,493,799,373,1856,89
"","W01000128: Colwyn 3 ",1143,949,782,914,1356,1393,651,1706,807
"","W01000129: Conwy 1 ",827,794,861,1373,946,816,1115,162,160
"","W01000130: Conwy 2 ",1406,1032,1111,1417,1376,1547,937,1490,450
"","W01000131: Conwy 3 ",1136,932,1111,1252,975,628,1227,1892,381
"","W01000132: Craig-y-Don 1 ",581,763,522,545,908,1560,518,211,45
"","W01000133: Craig-y-Don 2 ",1492,1486,1327,1267,1464,574,1263,496,1589
"","W01000134: Crwst ",789,660,708,765,708,1485,764,630,745
"","W01000135: Deganwy 1 ",1763,1713,1560,1749,1676,389,1813,1894,1718
"","W01000136: Deganwy 2 ",989,940,1022,667,1057,826,742,865,790
"","W01000137: Eglwysbach ",1394,1732,1560,1462,1393,133,1851,705,742
"","W01000138: Eirias 1 ",855,656,708,1094,1402,427,852,1885,408
"","W01000139: Eirias 2 ",1548,1165,1327,1067,1640,1230,1149,1494,1089
"","W01000140: Gele 1 ",717,619,782,1212,822,607,628,842,171
"","W01000141: Gele 2 ",1656,1523,1221,1470,1452,743,1801,1796,1489
"","W01000142: Gele 3 ",1793,1820,1560,1608,1790,453,1850,1744,1715
"","W01000143: Glyn (Conwy) 1 ",574,380,522,577,806,1519,187,1873,550
"","W01000144: Glyn (Conwy) 2 ",50,52,7,122,728,1779,7,1535,18
"","W01000145: Glyn (Conwy) 3 ",647,439,655,878,1055,723,303,1882,238
"","W01000146: Gogarth 1 ",598,700,585,855,1115,1345,168,467,15
"","W01000147: Gogarth 2 ",919,870,1022,1241,1145,443,945,377,345
"","W01000148: Gower (Conwy) ",837,629,1022,1144,497,1593,1205,519,196
"","W01000149: Kinmel Bay 1 ",349,407,347,506,273,954,538,140,455
"","W01000150: Kinmel Bay 2 ",821,942,1111,713,722,343,1394,132,1508
"","W01000151: Kinmel Bay 3 ",371,331,585,543,361,431,353,148,676
"","W01000152: Kinmel Bay 4 ",579,736,456,483,733,1143,642,111,914
"","W01000153: Llanddulas ",1304,1326,1111,1536,1606,325,917,592,1145
"","W01000154: Llandrillo yn Rhos 1 ",1430,1409,1327,939,1684,387,1546,916,1629
"","W01000155: Llandrillo yn Rhos 2 ",1250,1078,1022,680,1710,997,1016,1249,888
"","W01000156: Llandrillo yn Rhos 3 ",1073,981,941,682,1678,913,1079,487,827
"","W01000157: Llandrillo yn Rhos 4 ",470,379,400,995,687,1011,413,422,133
"","W01000158: Llandrillo yn Rhos 5 ",1576,1265,1111,1532,1695,725,1180,1790,1640
"","W01000159: Llangernyw ",1213,1267,1673,1248,1429,99,1858,994,425
"","W01000160: Llansanffraid 1 ",1426,1201,1221,1552,1293,855,908,1197,694
"","W01000161: Llansanffraid 2 ",1599,1775,1447,1838,1437,237,1387,1450,1099
"","W01000162: Llansannan ",1081,1352,1327,1551,1333,42,1719,1529,340
"","W01000163: Llysfaen 1 ",194,71,295,695,328,376,149,1336,290
"","W01000164: Llysfaen 2 ",1082,821,1327,1541,1111,462,885,476,663
"","W01000165: Marl 1 ",1756,1712,1560,1561,1636,581,1501,1394,1636
"","W01000166: Marl 2 ",801,754,782,814,662,1050,807,1034,369
"","W01000167: Mochdre ",501,474,585,650,597,1024,504,192,202
"","W01000168: Mostyn (Conwy) 1 ",509,499,655,617,508,1676,323,250,90
"","W01000169: Mostyn (Conwy) 2 ",451,442,295,718,963,1758,344,170,107
"","W01000170: Pandy ",1195,1015,1111,1418,1066,545,1132,1578,458
"","W01000171: Pant-yr-afon/Penmaenan 1 ",783,528,585,883,1093,1276,605,1886,521
"","W01000172: Pant-yr-afon/Penmaenan 2 ",355,279,400,203,793,686,460,1859,152
"","W01000173: Penrhyn 1 ",1619,1636,1560,1619,1713,338,1248,1393,788
"","W01000174: Penrhyn 2 ",1879,1772,1761,1530,1624,1088,1797,1822,1702
"","W01000175: Penrhyn 3 ",1847,1773,1560,1715,1715,859,1832,1390,1680
"","W01000176: Pensarn 1 ",648,573,708,790,587,1725,238,604,229
"","W01000177: Pensarn 2 ",1238,1007,1221,1739,930,535,1087,1128,681
"","W01000178: Pentre Mawr 1 ",370,263,456,366,618,1648,488,808,20
"","W01000179: Pentre Mawr 2 ",1468,1317,1221,1386,1300,924,1255,680,993
"","W01000180: Rhiw 1 ",1639,1724,1447,1168,1837,350,1438,1890,1494
"","W01000181: Rhiw 2 ",1706,1532,1447,1347,1788,658,1424,1888,1334
